ID_Movilidad;Anio;N_Distrito;Nombre_Distrito;Movilidad_Activa;Transporte_Privado;Transporte_Publico;Total
1101;2011;1;Ciutat Vella;176415.0;40246.0;118921.0;335582.0
1102;2011;2;Eixample;409283.0;158457.0;279365.0;847105.0
1103;2011;3;Sants-Montjuïc;362456.0;94530.0;165345.0;622331.0
1104;2011;4;Les Corts;126341.0;66848.0;69340.0;262529.0
1105;2011;5;Sarrià-Sant Gervasi;246280.0;127305.0;128327.0;501912.0
1106;2011;6;Gràcia;205580.0;56980.0;146413.0;408973.0
1107;2011;7;Horta-Guinardó;251143.0;138889.0;175910.0;565942.0
1108;2011;8;Nou Barris;268680.0;84368.0;168193.0;521241.0
1109;2011;9;Sant Andreu;267779.0;82271.0;142125.0;492175.0
1110;2011;10;Sant Martí;402570.0;161237.0;238615.0;802422.0
1201;2012;1;Ciutat Vella;201663.0;43869.0;105956.0;351488.0
1202;2012;2;Eixample;435045.0;168741.0;298483.0;902269.0
1203;2012;3;Sants-Montjuïc;383894.0;88804.0;175179.0;647877.0
1204;2012;4;Les Corts;145535.0;64228.0;71076.0;280839.0
1205;2012;5;Sarrià-Sant Gervasi;231136.0;143794.0;141249.0;516179.0
1206;2012;6;Gràcia;226048.0;47884.0;119998.0;393930.0
1207;2012;7;Horta-Guinardó;264869.0;88471.0;200753.0;554094.0
1208;2012;8;Nou Barris;240107.0;100089.0;145860.0;486056.0
1209;2012;9;Sant Andreu;283245.0;58545.0;131838.0;473628.0
1210;2012;10;Sant Martí;422512.0;142164.0;216221.0;780897.0
1301;2013;1;Ciutat Vella;184204.0;37224.0;89046.0;310475.0
1302;2013;2;Eixample;535217.0;145487.0;259094.0;939798.0
1303;2013;3;Sants-Montjuïc;321971.0;83378.0;172445.0;577794.0
1304;2013;4;Les Corts;156119.0;54942.0;84152.0;295213.0
1305;2013;5;Sarrià-Sant Gervasi;209356.0;137506.0;115245.0;462107.0
1306;2013;6;Gràcia;187873.0;82720.0;104560.0;375153.0
1307;2013;7;Horta-Guinardó;258434.0;126763.0;153834.0;539031.0
1308;2013;8;Nou Barris;215013.0;81611.0;163113.0;459737.0
1309;2013;9;Sant Andreu;301214.0;75798.0;151790.0;528802.0
1310;2013;10;Sant Martí;428396.0;146041.0;218948.0;793385.0
1401;2014;1;Ciutat Vella;205789.0;47942.0;104244.0;357975.0
1402;2014;2;Eixample;463130.0;157711.0;279498.0;900339.0
1403;2014;3;Sants-Montjuïc;296536.0;86085.0;190048.0;572669.0
1404;2014;4;Les Corts;124974.0;61255.0;82766.0;268994.0
1405;2014;5;Sarrià-Sant Gervasi;212130.0;136589.0;142000.0;490719.0
1406;2014;6;Gràcia;186258.0;63469.0;117448.0;367175.0
1407;2014;7;Horta-Guinardó;227342.0;107373.0;150899.0;485614.0
1408;2014;8;Nou Barris;234541.0;110173.0;164997.0;509711.0
1409;2014;9;Sant Andreu;266893.0;103330.0;137760.0;507984.0
1410;2014;10;Sant Martí;389108.0;149120.0;201819.0;740047.0
1501;2015;1;Ciutat Vella;197017.0;60964.0;106585.0;364567.0
1502;2015;2;Eixample;493913.0;173234.0;274306.0;941454.0
1503;2015;3;Sants-Montjuïc;288904.0;107063.0;209463.0;605430.0
1504;2015;4;Les Corts;160843.0;57062.0;74555.0;292460.0
1505;2015;5;Sarrià-Sant Gervasi;208511.0;141832.0;130642.0;480985.0
1506;2015;6;Gràcia;201092.0;95662.0;113438.0;410193.0
1507;2015;7;Horta-Guinardó;260576.0;144323.0;158930.0;563829.0
1508;2015;8;Nou Barris;293750.0;105096.0;139128.0;537974.0
1509;2015;9;Sant Andreu;251574.0;76497.0;159220.0;487290.0
1510;2015;10;Sant Martí;400885.0;116596.0;242282.0;759763.0
1601;2016;1;Ciutat Vella;157801.0;42190.0;99726.0;299717.0
1602;2016;2;Eixample;402373.0;137781.0;258168.0;798322.0
1603;2016;3;Sants-Montjuïc;254482.0;70693.0;195054.0;520229.0
1604;2016;4;Les Corts;81646.0;77212.0;82670.0;241528.0
1605;2016;5;Sarrià-Sant Gervasi;201201.0;148447.0;129398.0;479046.0
1606;2016;6;Gràcia;168604.0;64735.0;123360.0;356699.0
1607;2016;7;Horta-Guinardó;208153.0;103305.0;142688.0;454145.0
1608;2016;8;Nou Barris;195348.0;71302.0;162597.0;429247.0
1609;2016;9;Sant Andreu;189836.0;82746.0;137635.0;410216.0
1610;2016;10;Sant Martí;302492.0;139937.0;184663.0;627092.0
1701;2017;1;Ciutat Vella;156278.0;30600.0;96428.0;283306.0
1702;2017;2;Eixample;396160.0;127706.0;264128.0;787994.0
1703;2017;3;Sants-Montjuïc;191521.0;108719.0;179163.0;479403.0
1704;2017;4;Les Corts;113811.0;53885.0;68001.0;235696.0
1705;2017;5;Sarrià-Sant Gervasi;146063.0;128670.0;153189.0;427921.0
1706;2017;6;Gràcia;175224.0;72450.0;116683.0;364357.0
1707;2017;7;Horta-Guinardó;165772.0;89880.0;203155.0;458806.0
1708;2017;8;Nou Barris;160180.0;96607.0;164893.0;421680.0
1709;2017;9;Sant Andreu;240594.0;101037.0;131243.0;472874.0
1710;2017;10;Sant Martí;327995.0;125984.0;208640.0;662618.0
1801;2018;1;Ciutat Vella;190582.0;35234.0;78299.0;304115.0
1802;2018;2;Eixample;530189.0;166707.0;254391.0;951287.0
1803;2018;3;Sants-Montjuïc;290700.0;128783.0;168338.0;587821.0
1804;2018;4;Les Corts;129792.0;63104.0;68631.0;261527.0
1805;2018;5;Sarrià-Sant Gervasi;203323.0;186812.0;163068.0;553203.0
1806;2018;6;Gràcia;213740.0;74707.0;108746.0;397193.0
1807;2018;7;Horta-Guinardó;225203.0;107584.0;220560.0;553348.0
1808;2018;8;Nou Barris;260436.0;106925.0;172370.0;539731.0
1809;2018;9;Sant Andreu;239708.0;70539.0;158697.0;468944.0
1810;2018;10;Sant Martí;393916.0;145141.0;266061.0;805118.0
1901;2019;1;Ciutat Vella;262817.0;36431.0;100144.0;399393.0
1902;2019;2;Eixample;541135.0;147703.0;256298.0;945136.0
1903;2019;3;Sants-Montjuïc;327818.0;99696.0;192069.0;619583.0
1904;2019;4;Les Corts;161120.0;60315.0;73687.0;295122.0
1905;2019;5;Sarrià-Sant Gervasi;258901.0;138446.0;120515.0;517863.0
1906;2019;6;Gràcia;227170.0;93096.0;106123.0;426388.0
1907;2019;7;Horta-Guinardó;240904.0;128980.0;195224.0;565109.0
1908;2019;8;Nou Barris;274265.0;127194.0;169982.0;571441.0
1909;2019;9;Sant Andreu;326665.0;77624.0;138514.0;542803.0
1910;2019;10;Sant Martí;428341.0;149461.0;221574.0;799377.0
2001;2020;1;Ciutat Vella;253308.0;25329.0;54662.0;333300.0
2002;2020;2;Eixample;544185.0;147750.0;110104.0;802039.0
2003;2020;3;Sants-Montjuïc;294860.0;97666.0;107894.0;500419.0
2004;2020;4;Les Corts;176951.0;53956.0;33444.0;264350.0
2005;2020;5;Sarrià-Sant Gervasi;259254.0;136183.0;59699.0;455135.0
2006;2020;6;Gràcia;250154.0;68424.0;62320.0;380898.0
2007;2020;7;Horta-Guinardó;271132.0;108942.0;110899.0;490973.0
2008;2020;8;Nou Barris;294752.0;108715.0;122840.0;526307.0
2009;2020;9;Sant Andreu;289878.0;88952.0;81574.0;460405.0
2010;2020;10;Sant Martí;435258.0;137993.0;139793.0;713044.0
2101;2021;1;Ciutat Vella;193285.0;37006.0;94589.0;324881.0
2102;2021;2;Eixample;501492.0;153735.0;171565.0;826793.0
2103;2021;3;Sants-Montjuïc;291077.0;111337.0;141075.0;543489.0
2104;2021;4;Les Corts;145692.0;62491.0;50360.0;258543.0
2105;2021;5;Sarrià-Sant Gervasi;239831.0;121765.0;98265.0;459861.0
2106;2021;6;Gràcia;211213.0;85238.0;72859.0;369310.0
2107;2021;7;Horta-Guinardó;236390.0;114471.0;137437.0;488299.0
2108;2021;8;Nou Barris;227187.0;93683.0;144933.0;465803.0
2109;2021;9;Sant Andreu;265432.0;95044.0;107124.0;467601.0
2110;2021;10;Sant Martí;425464.0;148388.0;154626.0;728478.0
