Año;N_Distrito;N_Estacion;% Movilidad;Movilidad/Km2;NO2_Media
2011;1;1;0.5257;42923.3563;40.0
2011;2;2;0.4832;54863.6726;65.0
2011;3;4;0.5824;15981.3049;40.0
2011;5;6;0.4907;12369.6636;66.0
2011;6;6;0.5027;49064.4385;66.0
2011;7;5;0.4438;20998.5785;33.0
2011;8;5;0.5155;33376.3967;33.0
2011;9;3;0.5441;40634.1417;43.0
2011;10;3;0.5017;38745.9082;43.0
2012;1;1;0.5737;49066.4218;42.0
2012;2;2;0.4822;58317.0238;61.0
2012;3;4;0.5925;16926.543;37.0
2012;5;6;0.4478;11609.0408;61.0
2012;6;6;0.5738;53949.4026;61.0
2012;7;5;0.478;22146.2374;31.0
2012;8;5;0.494;29826.9558;31.0
2012;9;3;0.598;42981.0309;42.0
2012;10;3;0.5411;40665.2537;42.0
2013;1;1;0.5933;44818.49;35.0
2013;2;2;0.5695;71744.9058;56.0
2013;3;4;0.5572;14196.252;33.0
2013;4;7;0.5288;25933.3888;32.0
2013;5;6;0.453;10515.1181;54.0
2013;6;6;0.5008;44838.4242;54.0
2013;7;5;0.4794;21608.1939;27.0
2013;8;5;0.4677;26709.6888;27.0
2013;9;3;0.5696;45707.7379;40.0
2013;10;3;0.54;41231.5675;40.0
2014;1;1;0.5749;50070.3147;37.0
2014;2;2;0.5144;62081.7691;52.0
2014;3;4;0.5178;13074.7794;32.0
2014;4;7;0.4646;20759.8007;31.0
2014;5;6;0.4323;10654.4451;52.0
2014;6;6;0.5073;44452.9827;52.0
2014;7;5;0.4682;19008.5284;28.0
2014;8;5;0.4601;29135.5273;28.0
2014;9;3;0.5254;40499.6956;39.0
2014;10;3;0.5258;37450.2394;39.0
2015;1;1;0.5404;47936.0082;42.0
2015;2;2;0.5246;66208.1766;56.0
2015;3;4;0.4772;12738.2714;36.0
2015;4;7;0.55;26718.1064;34.0
2015;5;6;0.4335;10472.6771;54.0
2015;6;6;0.4902;47993.3168;54.0
2015;7;5;0.4622;21787.2909;30.0
2015;8;5;0.546;36490.6824;30.0
2015;9;3;0.5163;38175.1129;45.0
2015;10;3;0.5276;38583.7331;45.0
2016;1;1;0.5265;38394.4026;38.0
2016;2;2;0.504;53937.3992;52.0
2016;3;4;0.4892;11220.5466;32.0
2016;4;7;0.338;13562.4585;29.0
2016;5;6;0.42;10105.5249;49.0
2016;6;6;0.4727;40239.6176;49.0
2016;7;5;0.4583;17404.0969;30.0
2016;8;5;0.4551;24266.8317;30.0
2016;9;3;0.4628;28806.6761;43.0
2016;10;3;0.4824;29113.7623;43.0
2017;1;1;0.5516;38023.843;38.0
2017;2;2;0.5027;53104.5574;59.0
2017;3;4;0.3995;8444.4884;36.0
2017;4;7;0.4829;18905.4818;32.0
2017;5;6;0.3413;7336.1628;52.0
2017;6;6;0.4809;41819.5698;52.0
2017;7;5;0.3613;13860.5351;32.0
2017;8;5;0.3799;19898.1362;32.0
2017;9;3;0.5088;36508.9521;43.0
2017;10;3;0.495;31568.3339;43.0
2018;1;1;0.6267;46370.3148;35.0
2018;2;2;0.5573;71070.9112;54.0
2018;3;4;0.4945;12817.4601;33.0
2018;4;7;0.4963;21560.133;29.0
2018;5;6;0.3675;10212.1045;46.0
2018;6;6;0.5381;51011.9325;46.0
2018;7;5;0.407;18829.6822;29.0
2018;8;5;0.4825;32352.2974;29.0
2018;9;3;0.5112;36374.506;39.0
2018;10;3;0.4893;37912.992;39.0
2019;1;1;0.658;63945.74;32.0
2019;2;2;0.5725;72538.2034;50.0
2019;3;4;0.5291;14454.0562;31.0
2019;4;7;0.5459;26764.1197;28.0
2019;5;6;0.4999;13003.5661;44.0
2019;6;6;0.5328;54217.183;44.0
2019;7;5;0.4263;20142.4749;29.0
2019;8;5;0.48;34070.1855;29.0
2019;9;3;0.6018;49569.8016;37.0
2019;10;3;0.5358;41226.2739;37.0
